1,Chu Chu TV,"ChuChuTV is a family of youtube channels that engage children through a series of upbeat nursery rhymes and educational songs with colorful animations. ChuChu TV characters will teach kids their favorite nursery rhymes, colors, shapes, numbers in Hindi","https://www.youtube.com/channel/UCbH4Ii9Htdqc-QgxoV3M0Qw/videos,https://www.youtube.com/channel/UCbH4Ii9Htdqc-QgxoV3M0Qw/videos",0,1,"English, Math, Hindi",Free,3,Hindi,EN
2,Jugnu Kids - Nursery Rhymes and Kids Songs,Jugnu Kids YouTube channels are for your young kids to enjoy with characters that teach them to sing and dance while learning.,"https://www.youtube.com/channel/UCsCe7SNQckiRJ6y563SIupg/videos,https://www.youtube.com/channel/UCsCe7SNQckiRJ6y563SIupg/videos",0,1,"English, Math, Hindi",Free,3,"English, Hindi",EN
3,IIT PAL,IIT PAL lectures are by reputed IIT Professors/Subject Experts for clarifying concepts in the subject,"IIT PAL Physics==https://www.youtube.com/channel/UCwNr8peMxn8-Nc2V_RZsRvg/videos;IIT PAL Chemistry==https://www.youtube.com/channel/UC3Zv0XxBjYlWMjbMv8ODE8Q/videos;IIT PAL Maths==https://www.youtube.com/channel/UCfz4W0rG8HoyyrrK6qNc1rA/videos;IIT PAL Biology==https://www.youtube.com/channel/UCqiFTyCxFFMAN_lhAzIkdpA,IIT PAL Physics==https://www.youtube.com/channel/UCwNr8peMxn8-Nc2V_RZsRvg/videos;IIT PAL Chemistry==https://www.youtube.com/channel/UC3Zv0XxBjYlWMjbMv8ODE8Q/videos;IIT PAL Maths==https://www.youtube.com/channel/UCfz4W0rG8HoyyrrK6qNc1rA/videos;IIT PAL Biology==https://www.youtube.com/channel/UCqiFTyCxFFMAN_lhAzIkdpA",14,14,"Science, Math",Free,3,English,EN
4,ExamFear Education,Select from 6000+ video lessons that explain key concepts and show how to solve problems and answer questions. Lectures range from 7 minute videos to over 2 hours.,"ExamFear Education - English==https://www.youtube.com/user/ExamFearVideos/;ExamFear Education - Hindi==https://www.youtube.com/channel/UCWtKeCH3qnbq6GZpDiqgsKg,ExamFear Education - English==https://www.youtube.com/user/ExamFearVideos/;ExamFear Education - Hindi==https://www.youtube.com/channel/UCWtKeCH3qnbq6GZpDiqgsKg",6,12,"English, Math, Science",Free,3,English,EN
5,ExamFear Education,Video lessons that explain key concepts and show how to solve problems and answer questions. Lectures range from 7 minute videos to over 2 hours.,"ExamFear Education - English==https://www.youtube.com/user/ExamFearVideos/search?query=neet;ExamFear Education - Hindi==https://www.youtube.com/channel/UCWtKeCH3qnbq6GZpDiqgsKg/search?query=neet,ExamFear Education - English==https://www.youtube.com/user/ExamFearVideos/search?query=neet;ExamFear Education - Hindi==https://www.youtube.com/channel/UCWtKeCH3qnbq6GZpDiqgsKg/search?query=neet",14,14,NEET,Free,3,English,EN
6,Khan Academy India - Gujarati,An extensive free library of curriculum-aligned Gujarati video lessons covering a range of topics in Science in Math for grades 11 and 12.,"https://www.youtube.com/channel/UCaglh99xdT0llj9Fn2RIsGQ/videos,https://www.youtube.com/channel/UCaglh99xdT0llj9Fn2RIsGQ/videos",11,12,"Math, Science",Free,3,Gujarati,EN
7,Bodhaguru,A collection of over 2700 fun animated videos that use short stories to cover a range of topics.,"https://www.youtube.com/user/BodhaguruLearning/,https://play.google.com/store/apps/details?id=com.bodhaguru.studyncertcbsevideoshindi",0,10,"Math, Science",Free,3,"Hindi, English",EN
8,TicTacLearn,"TicTac Learn is an open-source repository of high-quality, curriculum aligned video content in vernacular languages.","TicTac Learn Hindi==https://www.youtube.com/channel/UCkxfbAky2v0yXuKWOKCDy1w/featured;TicTac Learn Odia==https://www.youtube.com/channel/UCl8_6ZBA370fTg2w6gGS6Mw/featured;TicTac Learn Telugu==https://www.youtube.com/channel/UC9qLJLs51f97UVwzU19glnA;TicTac Learn English==https://www.youtube.com/channel/UCgc6BPchRUum7ASV2QPGw2g;TicTac Learn marathi==https://www.youtube.com/channel/UCHB-eNXs4hJB__1G1lOR38Q/featured,TicTac Learn Hindi==https://www.youtube.com/channel/UCkxfbAky2v0yXuKWOKCDy1w/featured;TicTac Learn Odia==https://www.youtube.com/channel/UCl8_6ZBA370fTg2w6gGS6Mw/featured;TicTac Learn Telugu==https://www.youtube.com/channel/UC9qLJLs51f97UVwzU19glnA;TicTac Learn English==https://www.youtube.com/channel/UCgc6BPchRUum7ASV2QPGw2g;TicTac Learn marathi==https://www.youtube.com/channel/UCHB-eNXs4hJB__1G1lOR38Q/featured",1,10,"Math, Science",Free,3,"Hindi, English, Telugu, Marathi, Odia",EN
9,eVidhyarthi,A collection of video lectures on concepts for IIT JEE mains and advanced.,"https://www.youtube.com/channel/UCKzqFY6UPIujOUcuxV977EA/videos?sub_confirmation=1,https://www.youtube.com/channel/UCKzqFY6UPIujOUcuxV977EA/videos?sub_confirmation=1",14,14,IIT JEE,Free,3,"Hindi, English",EN
10,Shiksha House,"A collection of 3D animated videos for grades 9 to 12 with content across topics in Science, Social Studies, and Math.","https://www.youtube.com/channel/UCe5YkOlh2sy_JdRUDfge-lQ,https://www.youtube.com/channel/UCe5YkOlh2sy_JdRUDfge-lQ",9,12,"Math, Science, Social Science",Free,3,English,EN
